Student_ID,Gender,Age,Nationality,Province,Program_Level,Department,Year_of_Study,GPA,Attendance_Rate,Mental_Health_Score,Stress_Level,Sleep_Hours,Study_Hours,Monthly_Expenses,Scholarship_Status,Part_Time_Job,Hostel_Resident,Commute_Time,Transport_Mode,Internet_Access,Library_Usage,Canteen_Quality_Rating,Lab_Equipment_Access,Faculty_Satisfaction
PSY0067,Male,18,Pakistani,Sindh,Undergraduate,Psychology,4,3.5,83.3,3,6,8,2,35392,Yes,Yes,Yes,26,Bike,Yes,0,1,Poor,1.0
PSY0068,Female,23,Indian,Punjab,PhD,Psychology,3,2.73,89.9,5,2,6,2,25414,Yes,Yes,No,37,Walk,Yes,2,5,Good,1.0
COM0069,Male,23,Pakistani,Balochistan,Masters,Computer Science,1,2.97,89.3,6,10,5,3,17624,Yes,No,No,22,Walk,Yes,7,3,Poor,2.0
COM0070,Female,22,Indian,Kerala,Masters,Computer Science,3,3.1,98.5,3,7,8,2,53770,No,No,No,57,Bike,No,0,3,Good,5.0
BIO0071,Male,19,Pakistani,Balochistan,Masters,Biology,4,3.32,87.1,7,8,4,3,52714,No,No,Yes,40,Walk,No,3,2,Poor,3.0
ELE0072,Female,22,Pakistani,Sindh,Masters,Electrical Engineering,4,2.68,78.6,8,3,4,1,25335,No,No,Yes,28,Bike,No,5,2,Poor,4.0
PSY0073,Female,28,Afghan,Kabul,PhD,Psychology,3,2.9,73.8,5,9,6,2,57393,No,No,Yes,,Walk,No,3,2,Good,3.0
PSY0074,Male,27,Indian,Kerala,Masters,Psychology,4,3.31,91.8,3,1,4,5,45361,Yes,Yes,Yes,31,Walk,No,1,2,Good,5.0
PSY0075,Female,19,Pakistani,Sindh,PhD,Psychology,1,3.12,74.3,1,2,7,3,47912,Yes,No,Yes,12,Bus,No,2,2,Average,2.0
COM0076,Female,19,Bangladeshi,Chittagong,PhD,Computer Science,2,4.02,67.5,10,10,6,1,50817,No,Yes,Yes,5,Bike,Yes,7,4,Poor,1.0
PSY0077,Female,19,Afghan,Kabul,PhD,Psychology,1,2.56,77.5,5,6,8,4,33444,Yes,Yes,Yes,35,Bike,Yes,1,4,Good,5.0
COM0078,Male,21,Afghan,Kabul,Masters,,4,2.61,78.4,10,8,5,4,44487,Yes,Yes,Yes,9,Car,No,6,5,Good,5.0
ELE0079,Male,21,Pakistani,Sindh,Masters,Electrical Engineering,1,2.94,81.8,1,8,7,1,51986,No,Yes,No,54,Car,Yes,0,2,Good,1.0
MAT0080,Female,24,Afghan,Herat,PhD,Mathematics,4,3.15,81.2,7,7,8,3,52207,Yes,Yes,Yes,37,Car,No,6,4,Poor,1.0
COM0081,Male,22,Indian,Kerala,PhD,Computer Science,3,3.03,95.1,9,1,8,3,28498,Yes,Yes,Yes,48,Walk,No,0,3,Good,5.0
BIO0082,Female,24,Pakistani,Punjab,Masters,Biology,3,3.78,83.2,1,10,7,4,24995,No,Yes,Yes,49,Car,No,1,2,Good,1.0
,Male,24,Bangladeshi,Dhaka,Undergraduate,,2,2.52,82.4,5,10,5,3,51585,No,No,No,14,Bike,No,5,1,Average,3.0
ELE0084,Male,22,Afghan,Kabul,Undergraduate,Electrical Engineering,2,2.86,68.6,4,9,5,3,52962,Yes,No,Yes,16,Car,No,2,1,,3.0
ELE0085,Male,25,Indian,Punjab,PhD,,4,2.76,70.8,4,10,5,3,16632,No,Yes,Yes,44,Walk,No,6,4,,3.0
BIO0086,Female,27,Bangladeshi,Chittagong,PhD,Biology,2,2.81,68.1,9,10,5,5,17196,No,Yes,Yes,16,Bike,No,3,4,Poor,2.0
COM0087,Female,22,Pakistani,Punjab,Masters,Computer Science,3,3.13,77.0,1,2,7,3,47206,No,No,Yes,28,Bike,No,2,5,Good,5.0
PSY0088,Male,19,Afghan,Herat,Undergraduate,Psychology,2,2.49,71.7,5,9,8,2,54989,Yes,Yes,No,44,Bus,No,1,5,Average,4.0
COM0089,Male,24,Afghan,Herat,Undergraduate,Computer Science,1,2.88,73.8,1,3,4,5,34977,Yes,No,No,21,Car,No,4,1,Average,
MAT0090,Male,23,Bangladeshi,Dhaka,PhD,Mathematics,2,2.89,65.2,9,2,6,5,26329,No,No,Yes,36,Car,No,4,5,Average,2.0
COM0091,Female,27,Afghan,Kabul,Undergraduate,Computer Science,4,3.42,85.7,10,3,8,4,50246,Yes,Yes,No,18,Bike,No,4,3,Good,3.0
BIO0092,Female,18,Indian,Kerala,Masters,Biology,1,3.09,86.0,2,4,4,2,27330,Yes,Yes,No,15,Bus,Yes,0,5,Average,2.0
BIO0093,Female,18,Bangladeshi,Dhaka,PhD,Biology,1,2.98,96.6,6,10,7,5,56078,No,Yes,Yes,35,Walk,Yes,6,5,Average,5.0
COM0094,Female,23,Bangladeshi,Dhaka,Masters,Computer Science,1,3.29,71.2,4,9,5,5,33498,No,Yes,Yes,32,Bike,Yes,1,4,Poor,1.0
ELE0095,Female,28,Bangladeshi,Chittagong,Masters,Electrical Engineering,4,2.75,86.2,3,9,4,3,34540,No,No,Yes,51,Bus,Yes,5,1,Good,3.0
BUS0096,Female,18,Indian,Delhi,PhD,Business,3,3.2,75.5,1,9,7,2,26529,Yes,Yes,No,56,Bus,Yes,2,4,Average,1.0
BUS0097,Male,26,Afghan,Kabul,Masters,,3,3.1,91.6,10,3,6,1,19739,No,Yes,Yes,6,Bus,Yes,2,4,Average,1.0
PSY0098,Male,26,Bangladeshi,Chittagong,PhD,Psychology,1,2.93,77.3,7,9,5,1,20340,No,Yes,Yes,52,Bike,Yes,7,2,Good,3.0
ELE0099,Female,19,Pakistani,KPK,Masters,Electrical Engineering,3,3.28,71.1,9,2,5,5,31382,No,Yes,Yes,42,Car,Yes,3,2,Poor,1.0
PSY0100,Female,27,Afghan,Kabul,Masters,Psychology,1,2.55,79.3,9,1,7,4,48650,No,Yes,No,20,Walk,Yes,3,1,Good,5.0
COM0101,Female,24,Indian,Delhi,Masters,Computer Science,1,3.33,96.6,10,2,5,3,18743,No,No,No,39,Walk,No,4,3,Good,3.0
ELE0102,Female,22,Pakistani,Punjab,PhD,Electrical Engineering,1,4.7,94.1,8,8,7,1,35508,No,No,Yes,34,Walk,No,0,5,Poor,1.0
BUS0103,Male,21,Afghan,Herat,PhD,Business,4,2.83,78.3,5,8,7,4,48276,No,Yes,Yes,22,Bus,No,3,4,Poor,2.0
BIO0104,Male,19,Afghan,,PhD,Biology,1,2.3,88.3,9,7,6,3,26463,Yes,Yes,Yes,32,Bike,No,4,2,Poor,5.0
BIO0105,Female,22,Indian,Kerala,PhD,Biology,2,3.1,90.1,9,9,8,5,38896,Yes,Yes,No,30,Bike,Yes,6,4,Average,5.0
ELE0106,Female,25,Afghan,Herat,Masters,Electrical Engineering,2,3.18,75.1,5,2,7,5,31250,No,No,No,43,Bike,No,4,4,Poor,5.0
BUS0107,Female,26,Pakistani,KPK,Undergraduate,Business,4,3.66,90.0,1,7,8,5,55003,No,Yes,No,35,Bike,Yes,7,5,Poor,1.0
COM0108,Male,22,Pakistani,Punjab,PhD,Computer Science,4,3.17,84.8,6,2,8,1,24847,No,No,Yes,17,Bus,Yes,6,2,Good,2.0
COM0109,Male,28,Indian,Delhi,Undergraduate,Computer Science,2,3.27,66.0,8,3,8,2,27765,Yes,No,No,24,Bike,No,7,1,Average,1.0
PSY0110,Male,27,Afghan,Kabul,Masters,Psychology,2,2.96,83.0,1,5,6,2,36956,Yes,Yes,No,24,Walk,No,7,1,Good,3.0
ELE0111,Male,21,Pakistani,KPK,PhD,Electrical Engineering,1,3.48,80.5,4,2,5,5,47154,Yes,Yes,Yes,12,Bus,Yes,6,4,Average,1.0
BIO0112,Female,27,Bangladeshi,Dhaka,Masters,Biology,2,2.67,86.8,8,7,4,1,45940,No,Yes,No,56,Bus,No,5,3,Average,3.0
PSY0113,Male,24,Afghan,Herat,PhD,Psychology,2,2.89,93.6,7,10,6,4,28502,Yes,No,No,44,Car,No,1,1,Good,4.0
MAT0114,Male,22,Indian,Punjab,PhD,Mathematics,4,2.75,68.5,8,6,8,2,20196,Yes,No,No,34,Bike,No,5,1,Average,4.0
BUS0115,Male,24,Bangladeshi,Chittagong,PhD,Business,4,2.78,93.6,7,4,8,4,24962,No,Yes,Yes,20,Bike,No,0,2,Poor,5.0
,Female,24,Indian,Punjab,Undergraduate,Mathematics,1,2.74,77.5,8,1,5,1,50891,No,Yes,Yes,35,Car,No,0,1,Average,3.0
ELE0117,Male,19,Pakistani,Balochistan,Masters,Electrical Engineering,4,2.58,78.4,10,4,5,3,26046,Yes,No,Yes,58,Bus,Yes,1,3,Good,1.0
ELE0118,Male,21,Bangladeshi,Dhaka,PhD,Electrical Engineering,2,3.25,68.9,1,8,4,1,30671,Yes,No,No,42,Bike,No,0,2,Average,1.0
ELE0119,Female,18,Pakistani,KPK,PhD,Electrical Engineering,2,3.0,87.2,3,9,6,5,35478,No,Yes,No,22,Bus,Yes,4,4,Average,1.0
PSY0120,Female,26,Afghan,Herat,Masters,Psychology,1,2.65,95.7,7,3,8,4,51529,Yes,No,No,11,Bus,No,2,2,Good,3.0
ELE0121,Female,25,Indian,Punjab,PhD,Electrical Engineering,4,3.27,88.5,1,10,6,5,53238,Yes,No,No,19,Bus,Yes,5,4,Poor,1.0
PSY0122,Female,27,Indian,Kerala,PhD,Psychology,2,3.01,94.9,4,10,6,3,18912,No,No,Yes,54,Bus,No,6,5,Good,3.0
MAT0123,Female,19,Bangladeshi,Dhaka,Undergraduate,Mathematics,3,2.37,76.0,7,2,4,5,50709,No,Yes,Yes,59,Car,Yes,0,5,Average,3.0
COM0124,Male,23,Indian,Delhi,Undergraduate,Computer Science,3,3.03,78.0,1,9,7,4,20043,Yes,Yes,No,7,Car,Yes,6,3,Poor,2.0
BIO0125,Female,24,Afghan,Kabul,PhD,Biology,1,3.46,78.1,5,9,7,2,21925,No,No,No,34,Car,Yes,7,2,Good,3.0
COM0126,Female,26,Indian,Kerala,Masters,Computer Science,4,2.72,71.2,7,4,7,4,32935,No,No,No,45,Walk,Yes,0,3,Poor,1.0
BIO0127,Male,24,Indian,Delhi,Masters,Biology,1,3.03,72.0,9,2,4,2,46602,No,Yes,Yes,39,Walk,Yes,2,5,Poor,2.0
COM0128,Female,19,Indian,Kerala,Masters,Computer Science,3,3.42,97.7,10,1,6,1,49883,Yes,No,No,,Bus,No,1,4,Poor,1.0
MAT0129,Female,22,Afghan,Herat,Undergraduate,Mathematics,2,3.95,90.1,5,7,5,1,52221,Yes,Yes,Yes,18,Bus,No,5,4,Poor,1.0
BIO0130,Male,18,Afghan,Kabul,Undergraduate,Biology,4,3.03,71.8,10,10,5,5,25495,No,No,Yes,14,Bike,No,7,2,Poor,4.0
COM0131,Male,27,Afghan,Herat,PhD,Computer Science,2,2.95,93.3,3,1,4,1,28023,Yes,Yes,Yes,15,Car,No,5,3,Good,5.0
MAT0132,Male,25,Pakistani,Punjab,PhD,Mathematics,1,2.93,86.9,2,7,4,5,22048,Yes,No,Yes,51,Walk,No,4,3,Average,1.0
BUS0133,Male,27,Bangladeshi,Dhaka,Undergraduate,Business,2,2.38,75.0,3,2,6,3,21021,Yes,No,Yes,19,Car,Yes,1,1,Average,1.0
BUS0134,Female,26,Indian,Delhi,Undergraduate,Business,4,3.38,94.8,10,3,6,2,48037,No,No,No,42,Bike,Yes,2,2,Good,1.0
COM0135,Male,22,Afghan,Herat,Undergraduate,Computer Science,4,3.73,74.6,6,8,6,2,41276,Yes,Yes,No,30,Bus,Yes,3,5,Poor,5.0
PSY0136,Female,25,Bangladeshi,Dhaka,PhD,Psychology,4,2.77,95.7,10,4,8,2,35538,Yes,Yes,Yes,22,Bus,No,2,2,Good,2.0
ELE0137,Female,23,Pakistani,Punjab,Masters,Electrical Engineering,3,3.18,90.9,9,7,7,4,58155,No,Yes,Yes,11,Bus,Yes,3,4,Good,2.0
,Male,24,Bangladeshi,Chittagong,Undergraduate,Business,1,2.55,79.9,7,1,8,3,22937,No,No,Yes,45,Walk,Yes,1,1,Good,3.0
COM0139,Female,24,Afghan,Kabul,PhD,Computer Science,4,3.54,98.1,2,10,5,3,23140,No,No,No,43,Car,No,3,2,Poor,2.0
PSY0140,Male,26,Afghan,Herat,PhD,Psychology,2,3.13,68.2,2,10,7,5,26627,No,No,Yes,13,Walk,No,2,4,Poor,2.0
PSY0141,Female,20,Pakistani,Sindh,Masters,Psychology,1,2.96,95.7,9,7,5,3,46902,No,No,Yes,38,Car,No,5,5,Poor,1.0
COM0142,Female,26,Bangladeshi,Dhaka,PhD,Computer Science,3,2.85,66.2,2,3,7,2,33664,No,No,Yes,24,Walk,No,7,5,Good,5.0
PSY0143,Male,23,Indian,Punjab,Undergraduate,Psychology,2,2.46,91.4,4,7,8,5,31003,No,No,Yes,46,Bike,No,5,5,Poor,4.0
ELE0144,Female,21,Indian,Punjab,Undergraduate,Electrical Engineering,4,3.35,91.9,5,7,6,1,51706,No,No,No,56,Bike,Yes,5,3,Poor,1.0
,Female,23,Pakistani,Sindh,Undergraduate,Business,4,3.48,93.0,1,10,8,5,18111,Yes,No,Yes,10,Bus,No,0,2,Average,4.0
MAT0146,Male,22,Pakistani,,Masters,Mathematics,4,3.25,89.7,9,1,4,4,33695,No,No,Yes,42,Bike,No,3,5,Poor,5.0
COM0147,Female,22,Afghan,Kabul,Undergraduate,Computer Science,1,3.19,72.3,10,7,5,4,21487,No,No,Yes,40,Walk,No,7,4,Poor,5.0
BUS0148,Female,22,Afghan,Herat,Masters,Business,4,2.56,68.7,5,6,5,2,43000,No,Yes,Yes,48,Walk,No,3,2,Poor,5.0
MAT0149,Female,18,Pakistani,Punjab,Masters,Mathematics,4,2.88,65.6,7,9,6,4,37945,Yes,Yes,No,54,Bus,Yes,7,1,Good,5.0
,Female,20,Afghan,Herat,PhD,Biology,2,2.54,69.3,1,8,8,4,51671,No,No,Yes,57,Car,No,1,3,Average,3.0
COM0151,Female,19,Pakistani,Punjab,Undergraduate,Computer Science,3,2.81,80.2,8,2,7,4,30661,Yes,No,No,43,Walk,No,7,2,Good,4.0
ELE0152,Male,25,Bangladeshi,Chittagong,PhD,,2,3.36,65.6,3,9,5,2,47937,Yes,No,Yes,41,Bike,No,6,3,Good,2.0
MAT0153,Female,28,Pakistani,Punjab,PhD,Mathematics,1,2.99,74.7,9,3,5,3,37177,No,No,Yes,,Bike,Yes,3,4,Good,4.0
COM0154,Female,27,Indian,Punjab,Masters,Computer Science,3,3.07,87.0,7,1,8,1,38854,No,No,Yes,59,Bike,No,5,1,Average,4.0
BUS0155,Male,27,Pakistani,KPK,Masters,Business,4,2.31,87.4,10,1,7,5,54767,No,No,No,16,Bus,No,0,4,Good,2.0
BUS0156,Male,19,Pakistani,Punjab,Undergraduate,Business,1,2.82,76.2,5,8,7,2,49102,Yes,,No,59,Car,Yes,0,2,Good,4.0
COM0157,Male,22,Pakistani,Punjab,Masters,Computer Science,4,3.37,66.7,10,9,7,2,51894,Yes,No,No,12,Walk,Yes,3,1,Good,1.0
,Female,20,Bangladeshi,Dhaka,Undergraduate,Mathematics,3,2.62,96.9,8,9,5,2,42116,No,Yes,No,19,Bus,No,6,4,Average,1.0
MAT0159,Female,26,Bangladeshi,Dhaka,PhD,Mathematics,1,3.08,76.4,2,10,7,2,31375,Yes,Yes,Yes,38,Walk,Yes,1,5,Average,4.0
COM0160,Male,21,Pakistani,Balochistan,PhD,Computer Science,1,2.82,76.2,8,10,6,4,19270,No,No,No,35,Car,No,3,5,Average,1.0
PSY0161,Male,22,Afghan,Herat,Undergraduate,Psychology,2,3.37,73.5,4,10,6,5,36385,Yes,No,No,50,Bike,Yes,0,4,Good,1.0
,Male,28,Afghan,Kabul,Undergraduate,Business,1,3.06,80.8,4,10,6,5,49845,Yes,No,Yes,30,Bus,No,2,2,Good,1.0
MAT0163,Male,24,Afghan,Herat,Masters,Mathematics,2,3.16,79.8,10,7,5,2,28476,No,Yes,No,31,Bus,Yes,0,4,Good,2.0
BIO0164,Female,21,Afghan,Kabul,Undergraduate,Biology,1,2.88,70.2,3,6,6,3,50786,No,No,Yes,38,Bus,Yes,6,1,Good,1.0
COM0165,Male,27,Bangladeshi,Dhaka,Undergraduate,Computer Science,3,3.3,81.0,9,4,8,5,29733,Yes,No,No,24,Car,No,6,2,Good,4.0
PSY0166,Male,20,Pakistani,Sindh,Undergraduate,Psychology,1,2.99,69.7,10,4,5,2,16552,No,No,No,59,Bus,Yes,3,1,Poor,4.0
MAT0167,Male,18,Pakistani,Sindh,Masters,Mathematics,1,3.29,81.9,3,9,4,5,48328,Yes,Yes,Yes,51,Bike,No,1,1,Average,5.0
